,Country,Total
0,Argentina,4
1,Armenia,3
2,Bangladesh,2
3,Belarus,2
4,Belgium,8
5,Brazil,3
6,Bulgaria,8
7,Canada,28
8,China,91
9,Czech Republic,6
10,Egypt,1
11,Finland,6
12,France,72
13,Germany,36
14,Hungary,4
15,India,41
16,Indonesia,1
17,Iran,7
18,Italy,5
19,Japan,71
20,Kazakhstan,1
21,Lithuania,5
22,Mexico,2
23,Netherlands,2
24,Pakistan,7
25,Republic of Korea,44
26,Romania,3
27,Russian Federation,56
28,Slovakia,9
29,Slovenia,1
30,South Africa,2
31,Spain,10
32,Sweden,13
33,Switzerland,6
34,Taiwan,8
35,Turkey,8
36,Ukraine,21
37,United Arab Emirates,5
38,United Kingdom,49
39,United States,137
