,Year,ConstructionStartAt,OperationalTo,OperationalFrom
0,1951,1,0,0
1,1952,0,0,0
2,1953,2,0,0
3,1954,1,0,1
4,1955,8,0,0
5,1956,5,0,1
6,1957,13,0,2
7,1958,6,0,2
8,1959,7,0,5
9,1960,11,0,3
10,1961,8,0,1
11,1962,8,0,9
12,1963,5,1,6
13,1964,9,1,9
14,1965,9,0,10
15,1966,15,1,8
16,1967,25,2,5
17,1968,37,2,7
18,1969,13,1,12
19,1970,37,0,7
20,1971,15,1,11
21,1972,27,2,19
22,1973,26,1,15
23,1974,29,4,21
24,1975,33,0,23
25,1976,32,2,14
26,1977,17,5,17
27,1978,14,1,16
28,1979,24,1,19
29,1980,20,1,13
30,1981,18,1,25
31,1982,14,2,10
32,1983,11,1,21
33,1984,8,3,29
34,1985,12,3,41
35,1986,5,1,27
36,1987,7,4,23
37,1988,5,5,20
38,1989,7,7,20
39,1990,6,14,9
40,1991,2,6,5
41,1992,3,3,4
42,1993,6,0,10
43,1994,2,3,7
44,1995,0,0,5
45,1996,1,2,5
46,1997,7,3,3
47,1998,3,5,3
48,1999,6,2,2
49,2000,7,3,8
50,2001,1,0,2
51,2002,5,5,9
52,2003,1,6,3
53,2004,2,5,2
54,2005,3,2,6
55,2006,4,8,3
56,2007,8,1,4
57,2008,10,2,0
58,2009,12,3,1
59,2010,16,1,5
60,2011,4,13,5
61,2012,7,3,3
62,2013,10,6,3
63,2014,3,1,6
64,2015,8,7,8
65,2016,3,4,12
66,2017,4,5,5
67,2018,5,6,9
68,2019,1,1,1
